,State,Year,State_Minimum_Wage,Federal_Minimum_Wage,Victim_Count
122,Illinois,1993,4.25,4.25,745.0
123,Indiana,1993,3.35,4.25,82.0
124,Iowa,1993,4.65,4.25,39.0
125,Kansas,1993,2.65,4.25,0.0
126,Kentucky,1993,4.25,4.25,13.0
127,Louisiana,1993,0.0,4.25,23.0
128,Maine,1993,4.25,4.25,32.0
129,Maryland,1993,4.25,4.25,405.0
130,Massachusetts,1993,4.25,4.25,343.0
131,Michigan,1993,3.35,4.25,248.0
132,Minnesota,1993,4.25,4.25,0.0
133,Mississippi,1993,0.0,4.25,0.0
134,Missouri,1993,4.25,4.25,167.0
135,Montana,1993,4.25,4.25,21.0
136,Nebraska,1993,4.25,4.25,0.0
137,Nevada,1993,4.25,4.25,12.0
138,New Hampshire,1993,4.25,4.25,0.0
139,New Jersey,1993,4.25,4.25,1100.0
140,New Mexico,1993,3.35,4.25,4.0
141,New York,1993,4.25,4.25,934.0
142,North Carolina,1993,3.8,4.25,10.0
143,North Dakota,1993,4.25,4.25,1.0
144,Ohio,1993,4.25,4.25,260.0
145,Oklahoma,1993,4.25,4.25,61.0
146,Oregon,1993,4.75,4.25,237.0
147,Pennsylvania,1993,4.25,4.25,391.0
148,Puerto Rico,1993,1.2,4.25,0.0
149,Rhode Island,1993,4.45,4.25,62.0
150,South Carolina,1993,0.0,4.25,27.0
151,South Dakota,1993,4.25,4.25,4.0
152,Tennessee,1993,0.0,4.25,2.0
153,Texas,1993,3.35,4.25,418.0
154,U.S. Virgin Islands,1993,4.65,4.25,0.0
155,Utah,1993,4.25,4.25,45.0
156,Vermont,1993,4.25,4.25,1.0
157,Virginia,1993,3.65,4.25,100.0
158,Washington,1993,4.25,4.25,457.0
159,West Virginia,1993,3.8,4.25,0.0
160,Wisconsin,1993,3.8,4.25,19.0
161,Wyoming,1993,1.6,4.25,10.0
162,Alabama,1994,0.0,4.25,0.0
163,Alaska,1994,4.75,4.25,9.0
164,Arizona,1994,0.0,4.25,205.0
165,Arkansas,1994,4.25,4.25,10.0
166,California,1994,4.25,4.25,354.0
167,Colorado,1994,3.0,4.25,174.0
